course_id,prereq_id
BMME150,MATH119
BMME160,MATH232
BMME160,MATH118
BMME207,119
BMME215L,BMME160
BMME217L,119
BMME219L,BMME150
BMME301,BIOL101L
BMME301,BMME207
BMME301,BMME201
BMME301,COMP116
BMME302,BIOL101
BMME302,BMME160
BMME302,BMME205
BMME302,BMME150
BMME302,BMME209
BMME315,BMME201
BMME315,COMP116
BMME315,MATH383
BMME325,CHEM261
BMME325,BMME150
BMME325,BMME209
BMME335,BIOL101
BMME335,BMME209
BMME335,BMME150
BMME345,BMME160
BMME345,BMME205
BMME345,215L
BMME345,BMME150
BMME345,BMME209
BMME345,219L
BMME345,BMME201
BMME345,COMP116
BMME375,BMME201
BMME375,COMP116
BMME385,BMME207
BMME385,BMME217L
BMME385,BMME201
BMME385,COMP116
BMME386,BMME385
BMME398,BMME298
BMME405,BMME160
BMME405,BMME205
BMME405,MATH383
BMME435,PHYS118
BMME435,PHYS119
BMME441,MATH233
BMME441,MATH119
BMME445,BMME301
BMME445,BIOL252
BMME447,BMME301
BMME447,BMME345
BMME455,BMME315
BMME455,BMME205
BMME455,BMME160
BMME461,BMME365
BMME470,BMME335
BMME470,BMME302
BMME470,BIOL252
BMME485,BMME325
BMME486,BMME386
BMME505,BMME160
BMME505,MATH383
BMME511,BMME301
BMME511,BMME302
BMME511,BMME315
BMME511,BMME325
BMME511,BMME420
BMME511,BIOL202
BMME523,BMME325
BMME523,CHEM430
BMME524,BMME325
BMME524,CHEM430
BMME524,BMME420
BMME524,BMME511
BMME527,BMME325
BMME527,CHEM430
BMME527,BMME301
BMME527,BMME302
BMME550,PHYS128
BMME560,PHYS128
BMME575,COMP116
BMME575,MATH233
BMME576,COMP116
BMME576,COMP210
BMME576,COMP401
BMME576,MATH233
BMME581,BMME375
BMME581,BMME385
BMME697,BMME398
BMME697,BMME301
BMME697,BMME302
BMME698,BMME398
BMME698,BMME301
BMME698,BMME302
BMME775,MATH233
BMME775,MATH347
BMME775,STOR435
BMME810,BMME550
BMME810,BMME560
BIOS500H,MATH231
BIOS500H,MATH232
BIOS611,MATH232
BIOS611,STOR151
BIOS635,BIOS512
BIOS635,BIOS650
BIOS642,BIOS641
BIOS645,BIOS600
BIOS645,SPHG711
BIOS661,BIOS660
BIOS664,BIOS650
BIOS665,BIOS645
BIOS665,BIOS650
BIOS665,BIOS662
BIOS667,BIOS663
BIOS668,BIOS645
BIOS668,BIOS650
BIOS669,BIOS511
BIOS669,EPID700
BIOS673,BIOS660
BIOS673,BIOS661
BIOS680,BIOS661
BIOS700,BIOS760
BIOS700,BIOS761
BIOS700,BIOS762
BIOS700,BIOS767
BIOS735,BIOS660
BIOS735,BIOS661
BIOS735,BIOS662
BIOS735,BIOS663
BIOS752,BIOS600
BIOS752,BIOS661
BIOS756,BIOS661
BIOS759,BIOS661
BIOS759,BIOS663
BIOS760,BIOS661
BIOS761,BIOS760
BIOS762,BIOS661
BIOS762,BIOS663
BIOS762,BIOS577
BIOS762,BIOS760
BIOS764,BIOS664
BIOS765,BIOS661
BIOS765,BIOS663
BIOS765,BIOS665
BIOS767,BIOS661
BIOS767,BIOS762
BIOS771,BIOS670
BIOS773,BIOS761
BIOS773,BIOS762
BIOS774,BIOS661
BIOS775,BIOS761
BIOS775,BIOS762
BIOS776,BIOS661
BIOS776,BIOS663
BIOS779,BIOS762
BIOS780,BIOS760
BIOS780,BIOS761
BIOS781,BIOS661
BIOS781,BIOS663
BIOS782,BIOS760
BIOS784,BIOS661
BIOS784,BIOS663
BIOS785,BIOS661
BIOS785,BIOS673
BIOS785,BIOS663
BIOS791,BIOS761
BIOS842,BIOS511
BIOS842,BIOS645
BIOS842,BIOS650
BIOS842,BIOS841
BIOS844,BIOS841
BCS402,BCS401
BCS403,BCS402
BCS404,BCS403
BCS405,BCS404
BCS406,BCS405
BUSI305,GERM204
BUSI402,ECON101
BUSI408,ECON101
BUSI409,BUSI408
BUSI410,STOR155
BUSI463,ENEC201
BUSI502,BUSI408
BUSI504,BUSI500
BUSI511,BUSI506
BUSI512,BUSI503
BUSI517,BUSI408
BUSI518,BUSI502
BUSI518,BUSI517
BUSI525,BUSI401
BUSI532,BUSI403
BUSI533,BUSI403
BUSI536,BUSI403
BUSI537,BUSI403
BUSI538,BUSI403
BUSI539,BUSI403
BUSI545,BUSI405
BUSI547,BUSI405
BUSI555,BUSI405
BUSI558,BUSI406
BUSI562,BUSI406
BUSI565,BUSI406
BUSI566,BUSI406
BUSI567,BUSI406
BUSI568,MATH152
BUSI568,STOR113
BUSI568,STOR155
BUSI574,BUSI407
BUSI575,BUSI407
BUSI575,BUSI408
BUSI580,BUSI408
BUSI581,BUSI408
BUSI583,BUSI407
BUSI583,BUSI408
BUSI584,BUSI408
BUSI586,BUSI408
BUSI587,BUSI408
BUSI588,BUSI408
BUSI589,BUSI408
BUSI591,BUSI408
